id,firstname,name,mail,mobile,fix
2,Arthur,Hamelin,arthur.hamelin@etu.univ-nantes.fr,0600000000,0200000000
3,Maxime,Franco,maxime.franco@etu.univ-nantes.fr,1922422810,1569137253
4,Maxime,Santos,maxime.santos@etu.univ-nantes.fr,1844196596,1994286298
5,Titouan,Gautier,titouan.gautier@etu.univ-nantes.fr,1790525843,1889548291
6,Michelle,Dupont,dupont@test.com,0602030405,0402030405
7,Jackie,Michelle,jackiemichelle@test.com,0602030404,0402030405
39832434,Titouan,Gautier,titgautier1@gmail.com,987654321,0
449109511,Hamelin,Arthur,arthur.hamelin12@gmail.com,681524173,0
688034740,Hamelin,Arthur,robert123@email.com,681524172,0
798494396,Titouan,Gautier,titgautier@gmail.com,781096212,0
992823782,Hamelin,Arthur,arthuros222@gmail.com,681521473,0
